Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	alpha[3]	diversification	lambda	mole_branch_rate_mean	mole_branch_rates[1]	mole_branch_rates[2]	mole_branch_rates[3]	mole_branch_rates[4]	mole_branch_rates[5]	mole_branch_rates[6]	mole_branch_rates[7]	mole_branch_rates[8]	mole_branch_rates[9]	mole_branch_rates[10]	mole_branch_rates[11]	mole_branch_rates[12]	mole_branch_rates[13]	mole_branch_rates[14]	mole_branch_rates[15]	mole_branch_rates[16]	mole_branch_rates[17]	mole_branch_rates[18]	mole_branch_rates[19]	mole_branch_rates[20]	mole_branch_rates[21]	mole_branch_rates[22]	mole_clock_rate_mean	mole_clock_rate_sd	mole_proportional_rates[1]	mole_proportional_rates[2]	mole_proportional_rates[3]	mole_relative_rates[1]	mole_relative_rates[2]	mole_relative_rates[3]	morph_branch_rates[1]	morph_branch_rates[2]	morph_branch_rates[3]	morph_branch_rates[4]	morph_branch_rates[5]	morph_branch_rates[6]	morph_branch_rates[7]	morph_branch_rates[8]	morph_branch_rates[9]	morph_branch_rates[10]	morph_branch_rates[11]	morph_branch_rates[12]	morph_branch_rates[13]	morph_branch_rates[14]	morph_branch_rates[15]	morph_branch_rates[16]	morph_branch_rates[17]	morph_branch_rates[18]	morph_branch_rates[19]	morph_branch_rates[20]	morph_branch_rates[21]	morph_branch_rates[22]	morph_clock_rate	morph_clock_rate_log	morph_site_rate_alpha	morph_site_rates[1]	morph_site_rates[2]	morph_site_rates[3]	morph_site_rates[4]	mu	num_sampled_ancestors	origin_time	psi	relext	t[1]	t[2]	TL
100	-10875.48	-10882.49	7.002563	0.265006	0.511171	1.1062	0.07678077	0.1600163	0.001341569	0.00334715	0.000782386	0.000174501	0.00184701	0.00131562	0.00499394	0.00104886	0.00104617	0.000735279	0.00109878	0.000784507	0.00246465	0.000792412	0.000928314	0.00162202	0.000136035	0.00207027	0.0011548	0.00062219	0.00058195	0.000980601	0.000987087	0.001191255	0.8841032	0.605119	0.091624	0.303257	1.81536	0.274872	0.909771	0.00937797	0.00219207	0.000488911	0.00517491	0.00368607	0.0139919	0.00293866	0.00293112	0.00206009	0.00307855	0.00219801	0.0069054	0.00222016	0.00260093	0.00454454	0.000381138	0.00580043	0.0032355	0.00174324	0.00163049	0.00274742	0.0027656	0.003758777	-5.583662	3.821573	0.444284	0.768804	1.08438	1.70253	0.0832355	0	95.41251	0.000127532	0.520169	34.9973	52.3207	727.6709
110	-10891.9	-10896.08	4.183064	0.249857	0.786578	0.692307	0.07594417	0.1046201	0.001457451	0.00386372	0.00067089	0.00018893	0.00162581	0.00132439	0.00555996	0.00100252	0.000716312	0.000685397	0.000877863	0.000642285	0.00162463	0.00146186	0.00159955	0.00151931	0.000136035	0.00306291	0.000476546	0.00164971	0.00163822	0.0009712	0.00076587	0.001123623	0.8233096	0.608477	0.0963808	0.295143	1.82543	0.289142	0.885428	0.0181108	0.00314473	0.000885592	0.00762082	0.00620794	0.0260617	0.00469922	0.00335764	0.00321273	0.00411489	0.00301064	0.00761527	0.00685232	0.00749773	0.00712163	0.000637648	0.0143571	0.00223376	0.00773284	0.00767897	0.0045524	0.00358994	0.00683165	-4.986189	5.488348	0.521177	0.814794	1.08236	1.58166	0.02867593	0	98.39205	9.389211e-05	0.2740958	39.1509	52.0315	820.1563
120	-10886.19	-10886.58	0.3845221	0.213726	0.604688	0.877355	0.07247856	0.09699758	0.001533994	0.00215245	0.000765922	0.000662204	0.00184188	0.00132439	0.00600742	0.000809664	0.000859594	0.000568537	0.000931935	0.00066117	0.0036491	0.00190567	0.000721161	0.000568293	0.000243185	0.00292205	0.00184919	0.000931887	0.00107592	0.0023673	0.00092894	0.0008850853	0.7130781	0.575984	0.095381	0.328635	1.72795	0.286143	0.985904	0.00736289	0.00261999	0.0022652	0.0063005	0.00453034	0.0205496	0.00276961	0.00294041	0.00194479	0.00318787	0.00226166	0.0124825	0.00651874	0.00246688	0.00194396	0.000831864	0.00999546	0.00632552	0.0031877	0.00368039	0.00809783	0.00317762	0.00524733	-5.250036	2.979256	0.387651	0.730373	1.08241	1.79956	0.02451901	0	94.69377	0.000101502	0.2527796	35.1116	52.0315	739.8338
130	-10866.29	-10879.29	13.00332	0.254392	0.701444	0.856573	0.06781081	0.08773662	0.001373237	0.00216086	0.000706714	0.000452862	0.00184188	0.00143597	0.00510747	0.00122182	0.000500192	0.000783401	0.000899593	0.000449287	0.0027359	0.000862507	0.0016629	0.00125907	0.000491892	0.00158368	0.00231334	0.00160425	0.000956096	0.000395792	0.00078574	0.001596407	0.7403018	0.605882	0.0855785	0.30854	1.81765	0.256736	0.925619	0.00774648	0.0025335	0.00162347	0.00660295	0.00514782	0.0183098	0.00438009	0.00179314	0.00280842	0.00322495	0.00161065	0.00980794	0.003092	0.00596135	0.00451365	0.00176339	0.00567733	0.0082931	0.00575109	0.00342751	0.00141887	0.0028168	0.004922921	-5.313853	1.581035	0.237573	0.601512	1.05485	2.10607	0.01992581	0	100.2643	2.966188e-05	0.2271094	36.3557	52.0315	818.5212
140	-10882.13	-10891.11	8.979302	0.305806	1.02624	0.74327	0.06009625	0.1556192	0.001565789	0.000757438	0.000530356	0.000579293	0.00161826	0.00158495	0.00520957	0.00096899	0.000345219	0.000499426	0.000731765	0.00048491	0.00161386	0.00160494	0.000442148	0.000752307	0.000652769	0.00598997	0.00382096	0.00202066	0.000376553	0.000589118	0.0032739	0.001411274	0.8330247	0.594863	0.102201	0.302936	1.78459	0.306603	0.908808	0.00386009	0.00270283	0.00295222	0.00824703	0.00807728	0.0265493	0.00493821	0.00175932	0.0025452	0.00372926	0.00247122	0.00822461	0.00817915	0.00225329	0.00383394	0.00332667	0.0305263	0.0194726	0.0102978	0.00191901	0.00300229	0.0166846	0.007979643	-4.830862	2.651955	0.360406	0.710235	1.08016	1.8492	0.0955229	0	92.34703	2.613844e-05	0.6138248	47.2777	52.0315	753.0645
150	-10875.75	-10884.35	8.603582	0.218718	0.860149	1.03928	0.05918465	0.1407927	0.00142854	0.000854323	0.000598827	0.00037701	0.0017188	0.00114307	0.00546079	0.000861158	0.00031328	0.000633814	0.000914711	0.000586536	0.00174166	0.00322135	0.000412287	0.000365029	0.00193417	0.00228593	0.00341481	0.00150667	0.000152457	0.00176617	0.00116503	0.001199152	0.798001	0.627654	0.0882755	0.28407	1.88296	0.264826	0.852211	0.00354641	0.00248581	0.00156502	0.00713496	0.00474505	0.0226685	0.00357478	0.00130047	0.00263105	0.00379709	0.00243479	0.00722985	0.0133723	0.00171146	0.00151528	0.008029	0.00948921	0.0141753	0.0062544	0.00063287	0.00733159	0.00483621	0.005930062	-5.127721	1.8113	0.26966	0.63332	1.06446	2.03256	0.08160807	0	98.22223	3.469931e-05	0.5796327	46.0101	52.0315	845.1656
160	-10883.74	-10887.53	3.795546	0.266406	0.528887	0.954952	0.07662935	0.07971259	0.001758518	0.000382132	0.000576039	0.000219727	0.00174271	0.00129786	0.00553667	0.000960178	0.000280104	0.000599441	0.000700299	0.000446094	0.00723599	0.00382099	0.000669944	0.00102019	0.00203549	0.00157867	0.00441972	0.00188797	0.000195802	0.00191635	0.00116503	0.001501598	0.9482456	0.650324	0.083349	0.266327	1.95097	0.250047	0.798981	0.00245244	0.00369689	0.00141016	0.0111843	0.00832938	0.0355331	0.00616221	0.00179764	0.00384708	0.00449436	0.00286293	0.046439	0.0245222	0.00429955	0.00654732	0.0130633	0.0101316	0.0283647	0.0121166	0.00125661	0.0122987	0.00747693	0.01128578	-4.484212	0.7423747	0.0832528	0.382856	0.939613	2.59428	0.003083241	0	100.2012	3.497098e-05	0.03867947	46.0101	52.0315	855.1371
170	-10880.41	-10884.12	3.706883	0.253545	0.842416	0.928527	0.07662935	0.08446026	0.001446711	0.000387698	0.000630267	0.000207836	0.00171424	0.00108517	0.00555585	0.00103375	7.10401e-05	0.000460037	0.000936799	0.000546876	0.00197586	0.001289	0.00353333	0.00159492	0.000268329	0.00147146	0.00339115	0.00165357	0.00113967	0.000725503	0.00215527	0.001866581	1.097065	0.608575	0.0996532	0.291771	1.82573	0.29896	0.875314	0.00178476	0.00290142	0.000956771	0.00789148	0.00499556	0.0255763	0.00475886	0.000327032	0.00211777	0.00431254	0.00251753	0.00909584	0.00593387	0.0162656	0.00734218	0.00123525	0.00677384	0.0156111	0.00761218	0.00524644	0.00333984	0.00992177	0.006659907	-5.01165	7.262734	0.575448	0.843691	1.07834	1.50252	0.007830907	0	93.85256	8.305444e-05	0.09271706	34.3941	52.0315	739.3534
180	-10872.35	-10876.94	4.591885	0.224201	0.475992	0.820832	0.07804818	0.08719038	0.001605859	0.0034416	0.00055183	0.00012103	0.00175738	0.00110734	0.00561915	0.000759096	0.000165665	0.000552499	0.000878911	0.000607064	0.00376933	0.00116373	0.00176505	0.000339145	0.000563759	0.00154447	0.00420326	0.00163573	0.00304134	0.00079062	0.000950893	0.001501044	1.012413	0.609315	0.100503	0.290182	1.82794	0.301509	0.870546	0.0154412	0.00247586	0.000543014	0.0078847	0.00496824	0.025211	0.00340578	0.000743275	0.00247886	0.00394334	0.00272367	0.0169116	0.00522122	0.00791911	0.00152162	0.00252938	0.00692944	0.0188585	0.00733891	0.0136454	0.00354722	0.0042663	0.007204888	-4.932996	6.015993	0.539488	0.824846	1.08122	1.55444	0.009142203	0	92.58476	5.052222e-05	0.1048533	38.6212	52.0315	786.4859
190	-10872.15	-10876.33	4.183303	0.23927	0.529219	0.863141	0.08010361	0.08954304	0.001578064	0.00130252	0.000643842	0.000318574	0.0020388	0.00107698	0.00775623	0.00075654	0.000173124	0.000625717	0.00084485	0.000674702	0.00370658	0.000128408	0.00117004	0.00221542	0.00048232	0.000859225	0.00489623	0.0010795	0.00274696	0.000399307	0.000821543	0.001400328	1.066314	0.541232	0.112039	0.34673	1.62369	0.336116	1.04019	0.00316445	0.00156421	0.000773973	0.00495325	0.0026165	0.0188437	0.00183801	0.000420604	0.00152017	0.00205256	0.00163918	0.00900511	0.000311966	0.0028426	0.00538235	0.00117179	0.00208748	0.0118953	0.00262264	0.00667371	0.000970114	0.00199593	0.003833893	-5.563875	8.898439	0.611765	0.861605	1.07465	1.45198	0.009439429	0	92.10534	3.04557e-05	0.1054178	41.8185	52.0315	731.5522
