taxon	min	max
f_Physalis_infinemundi	52	52.44
f_Euphysalodes	33.9	47.3
Alkekengi_officinarum	0.0	0.0
Brunfelsia_plowmaniana	0.0	0.0
Capsicum_chacoense	0.0	0.0
Hyoscyamus_niger	0.0	0.0
Nicotiana_glauca	0.0	0.0
Physalis_peruviana	0.0	0.0
Schizanthus_grahamii	0.0	0.0
Solanum_juvenale	0.0	0.0
Solanum_tuberosum	0.0	0.0
Ipomoea_batatas	0.0	0.0
